1 0 0 0 0
2 1 -1 0 1 0
3 1 0 -1 0.5 0.866025
4 0 1 -1 -0.5 0.866025
5 -1 1 0 -1 0
6 -1 0 1 -0.5 -0.866025
7 0 -1 1 0.5 -0.866025
8 2 -2 0 2 0
9 2 -1 -1 1.5 0.866025
10 2 0 -2 1 1.73205
11 1 1 -2 0 1.73205
12 0 2 -2 -1 1.73205
13 -1 2 -1 -1.5 0.866025
14 -2 2 0 -2 0
15 -2 1 1 -1.5 -0.866025
16 -2 0 2 -1 -1.73205
17 -1 -1 2 0 -1.73205
18 0 -2 2 1 -1.73205
19 1 -2 1 1.5 -0.866025
20 3 -3 0 3 0
21 3 -2 -1 2.5 0.866025
22 3 -1 -2 2 1.73205
23 3 0 -3 1.5 2.59808
24 2 1 -3 0.5 2.59808
25 1 2 -3 -0.5 2.59808
26 0 3 -3 -1.5 2.59808
27 -1 3 -2 -2 1.73205
28 -2 3 -1 -2.5 0.866025
29 -3 3 0 -3 0
30 -3 2 1 -2.5 -0.866025
31 -3 1 2 -2 -1.73205
32 -3 0 3 -1.5 -2.59808
33 -2 -1 3 -0.5 -2.59808
34 -1 -2 3 0.5 -2.59808
35 0 -3 3 1.5 -2.59808
36 1 -3 2 2 -1.73205
37 2 -3 1 2.5 -0.866025
38 4 -4 0 4 0
39 4 -3 -1 3.5 0.866025
40 4 -2 -2 3 1.73205
41 4 -1 -3 2.5 2.59808
42 4 0 -4 2 3.4641
43 3 1 -4 1 3.4641
44 2 2 -4 0 3.4641
45 1 3 -4 -1 3.4641
46 0 4 -4 -2 3.4641
47 -1 4 -3 -2.5 2.59808
48 -2 4 -2 -3 1.73205
49 -3 4 -1 -3.5 0.866025
50 -4 4 0 -4 0
51 -4 3 1 -3.5 -0.866025
52 -4 2 2 -3 -1.73205
53 -4 1 3 -2.5 -2.59808
54 -4 0 4 -2 -3.4641
55 -3 -1 4 -1 -3.4641
56 -2 -2 4 0 -3.4641
57 -1 -3 4 1 -3.4641
58 0 -4 4 2 -3.4641
59 1 -4 3 2.5 -2.59808
60 2 -4 2 3 -1.73205
61 3 -4 1 3.5 -0.866025
62 5 -5 0 5 0
63 5 -4 -1 4.5 0.866025
64 5 -3 -2 4 1.73205
65 5 -2 -3 3.5 2.59808
66 5 -1 -4 3 3.4641
67 5 0 -5 2.5 4.33013
68 4 1 -5 1.5 4.33013
69 3 2 -5 0.5 4.33013
70 2 3 -5 -0.5 4.33013
71 1 4 -5 -1.5 4.33013
72 0 5 -5 -2.5 4.33013
